Symbol,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
AAPL,2024-04-01 00:00:00-04:00,170.38545404662338,171.1120189844994,167.43935859285446,168.78302001953125,239021300,0.0,0.0
AAPL,2024-04-08 00:00:00-04:00,168.23562777166774,177.52178245719062,166.3246527991439,175.7202911376953,322249600,0.0,0.0
AAPL,2024-04-15 00:00:00-04:00,174.53587619933919,175.79991194123798,163.3088890664717,164.2245635986328,309039200,0.0,0.0
AAPL,2024-04-22 00:00:00-04:00,164.74211472583232,170.53475474394267,163.99563947900361,168.5043487548828,241302700,0.0,0.0
AAPL,2024-04-29 00:00:00-04:00,172.55520753085744,186.12115543095717,168.31523373544655,182.51817321777344,441926300,0.0,0.0
AAPL,2024-05-06 00:00:00-04:00,181.4930357925836,184.22014919556563,179.5720981044867,182.1897430419922,300675100,0.25,0.0
AAPL,2024-05-13 00:00:00-04:00,184.8188398624675,190.45988438725337,184.00157929114755,189.23399353027344,288966500,0.0,0.0
AAPL,2024-05-20 00:00:00-04:00,188.69581128972396,192.1741264620115,186.00485840480843,189.3436279296875,208619700,0.0,0.0
AAPL,2024-05-27 00:00:00-04:00,190.8685065778142,192.35352110149645,188.46659074780158,191.6060333251953,230454300,0.0,0.0
AAPL,2024-06-03 00:00:00-04:00,192.2538436941542,196.28031956711487,191.87512690776794,196.23048400878906,245994400,0.0,0.0
AAPL,2024-06-10 00:00:00-04:00,196.240438948775,219.46239409412956,191.5063500005715,211.77822875976562,635755100,0.0,0.0
AAPL,2024-06-17 00:00:00-04:00,212.65529221367896,218.2166033028229,206.4162661482939,206.7949981689453,506265500,0.0,0.0
AAPL,2024-06-24 00:00:00-04:00,207.02420984314057,215.34624626528088,205.89799009247443,209.91448974609375,335969500,0.0,0.0
AAPL,2024-07-01 00:00:00-04:00,211.37956563014407,225.69146503075916,211.21013689833188,225.5818328857422,216231300,0.0,0.0
AAPL,2024-07-08 00:00:00-04:00,226.32932062087914,232.29926159426296,222.50218698946944,229.76776123046875,287546800,0.0,0.0
AAPL,2024-07-15 00:00:00-04:00,235.6878725668031,236.43536033582674,221.52547948600096,223.5586395263672,278397600,0.0,0.0
AAPL,2024-07-22 00:00:00-04:00,226.24957714458293,227.01700212700396,213.901080644156,217.2299041748047,242932200,0.0,0.0
AAPL,2024-07-29 00:00:00-04:00,216.23327043225223,224.84432899946665,215.027316796154,219.12355041503906,296061500,0.0,0.0
AAPL,2024-08-05 00:00:00-04:00,198.4231227040625,216.05387055494424,195.34347664556446,215.51568603515625,342088200,0.0,0.0
AAPL,2024-08-12 00:00:00-04:00,215.3462498608991,226.07020222368163,214.87782297665973,225.29281616210938,214898200,0.25,0.0
AAPL,2024-08-19 00:00:00-04:00,225.22430710791238,227.8385485650427,222.55018462499993,226.3418426513672,188124900,0.0,0.0
AAPL,2024-08-26 00:00:00-04:00,226.26201453736442,232.40849042336728,223.3983221195748,228.49710083007812,209486100,0.0,0.0
AAPL,2024-09-02 00:00:00-04:00,228.0480877464654,228.49709646301807,217.00239110276092,220.33506774902344,179069200,0.0,0.0
AAPL,2024-09-09 00:00:00-04:00,220.33506455362428,223.54797910505988,216.2340899147292,222.01136779785156,237622900,0.0,0.0
AAPL,2024-09-16 00:00:00-04:00,216.06445512465,232.57811312113958,213.4502137143977,227.6988525390625,550232800,0.0,0.0
AAPL,2024-09-23 00:00:00-04:00,226.8407404247703,229.01596089620384,223.52803931428423,227.2897491455078,210673500,0.0,0.0
AAPL,2024-09-30 00:00:00-04:00,229.53480184695897,232.4883080822338,223.24864947388588,225.71322631835938,117826900,0.0,0.0
NVDA,2024-04-01 00:00:00-04:00,90.26934330584831,92.19470555201937,85.85178845851487,87.97909545898438,2090215000,0.0,0.0
